id,number,acceptdate,sum,descriptionRu,customer_name,provider_name,customer_bin,provider_bin
1899,011,22.02.2016 16:30,2603900,табиғи газ,КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ «АЛТЫНСАРИНСКАЯ РАЙОННАЯ БОЛЬНИЦА» УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗТРАНСГАЗ АЙМАК""",961240001105,020440001144
1902,ГЗ-10,21.01.2016 18:54,11405,Телефон байланысының қызметтері,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕСПУБЛИКАНСКАЯ ГАЗЕТА ""ЕГЕМЕН ҚАЗАҚСТАН""","ПАВЛОДАРСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ - ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХТЕЛЕКОМ""",010140001210,970741000596
1903,2,21.01.2016 18:00,19709,Обязательное страхование Гражданско-Правовой Ответственности владельцев транспортных средств.,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЁННОЕ ПРЕДПРИЯТИЕ ""ДЕТСКИЙ ВОСПИТАТЕЛЬНО-ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС"" АКИМАТА ГОРОДА РУДНОГО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАХОВАЯ КОМПАНИЯ ""АЛЬЯНС ПОЛИС""",040140003470,930840000071
1904,2,20.01.2016 10:05,211500,Услуги по администрированию и техническому обслуживанию прикладного программного обеспечения,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АРАКАРАГАЙСКОЕ УЧРЕЖДЕНИЕ ЛЕСНОГО ХОЗЯЙСТВА"" УПРАВЛЕНИЯ ПРИРОДНЫХ РЕСУРСОВ И РЕГУЛИРОВАНИЯ ПРИРОДОПОЛЬЗОВАНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ",ИП МОЛЧАНОВ ИЛЬЯ ВИКТОРОВИЧ,000440001894,820606350804
1906,33,20.01.2016 17:24,10920,"ШХ -1,4 мұздатқыш  шкаф ","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОКАЗАНИЯ СПЕЦИАЛЬНЫХ СОЦИАЛЬНЫХ УСЛУГ №1"" УПРАВЛЕНИЯ КООРДИНАЦИИ ЗАНЯТОСТИ И СОЦИАЛЬНЫХ ПРОГРАММ АКИМАТА ЖАМБЫЛСКОЙ ОБЛАСТИ""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДРЕМПЛЮС""",960240000401,060140014925
1907,12-16/ЗК,20.01.2016 12:50,96429,"Ақпараттық-құқықтық қамтамсыз ету - ""Заң"" деректер базасына абоненттік қызмет көрсету","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПРЕДПРИНИМАТЕЛЬСТВА И ИНДУСТРИАЛЬНО-ИННОВАЦИОННОГО РАЗВИТИЯ ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ""","РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ИНСТИТУТ ЗАКОНОДАТЕЛЬСТВА И ПРАВОВОЙ ИНФОРМАЦИИ РЕСПУБЛИКИ КАЗАХСТАН"" МИНИСТЕРСТВА ЮСТИЦИИ РЕСПУБЛИКИ КАЗАХСТАН",050140001268,990540004034
1908,4,20.01.2016 09:17,1100000,"Қала тұрғындары үшін  жаппай-сауықтыру іс- шараларын, шайбалы хоккей,  мәнерлеп сырғану, шорт-трек,   жүзу,  шаңғы тебу спортынан  жаттықтырулар өткізу үшін  жағдай  жасау  бойынша қызметтер көрсету","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА АКИМАТА ГОРОДА КОСТАНАЯ""","ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ДВОРЕЦ СПОРТА АКИМАТА ГОРОДА КОСТАНАЯ ОТДЕЛА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА АКИМАТА ГОРОДА КОСТАНАЯ""",060140015666,020840002692
1909,16/16,20.01.2016 18:46,211200,Пакет упаковочный,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЦЕНТР СТЕРИЛИЗАЦИИ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""STERIMED"" (СТЕРИМЕД)",091240000471,110240011202
1910,15,29.01.2016 18:33,2820,"Карандаш-автомат 0,7 мм.","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ ГОРОДА ПАВЛОДАРА""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛЕНОВЫЙ ЛИСТ""",041240000819,071140014622
1911,1,03.02.2016 14:08,275848,Приобретение продуктов питания,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ """"РЕСПУБЛИКАНСКАЯ СПЕЦИАЛИЗИРОВАННАЯ ШКОЛА-ИНТЕРНАТ-КОЛЛЕЖД ОЛИМПИЙСКОГО РЕЗЕРВА В ГОРОДЕ РИДДЕР"" КОМИТЕТА ПО ДЕЛАМ СПОРТА И ФИЗИЧЕСКОЙ КУЛЬТУРЫ МИНИСТЕРСТВА КУЛЬТУРЫ И СПОРТА РЕСПУБЛИКИ КАЗАХСТАН""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОКСИМА""",020940002854,980540000505
