id,number,acceptdate,sum,descriptionRu,customer_name,provider_name,customer_bin,provider_bin
1912,13,20.01.2016 12:10,54000,Информационно технологическое сопровождение (Казахстан),"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ОБЛАСТНАЯ ДЕТСКО-ЮНОШЕСКАЯ СПОРТИВНАЯ ШКОЛА ПО ЗИМНИМ ВИДАМ СПОРТА"" УПРАВЛЕНИЯ ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА АКИМАТА ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",ИП ТАБЫС,011240002710,790105302456
1914,44,12.02.2016 14:02,7940,"Средство дезинфицирующий для чистки, порошкообразный, для ванн, санузла, раковин, кафеля. ","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР"" УПРАВЛЕНИЯ ПО ДЕЛАМ РЕЛИГИЙ АТЫРАУСКОЙ ОБЛАСТИ",ИП КОЧНЕВА СВЕТЛАНА,130940008826,710419401209
1915,16,25.02.2016 17:33,64286,"Услуги банка,банковское обслуживание","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР"" УПРАВЛЕНИЯ ПО ДЕЛАМ РЕЛИГИЙ АТЫРАУСКОЙ ОБЛАСТИ","АТЫРАУСКИЙ ОБЛАСТНОЙ ФИЛИАЛ №149900 АКЦИОНЕРНОГО ОБЩЕСТВА ""НАРОДНЫЙ СБЕРЕГАТЕЛЬНЫЙ БАНК КАЗАХСТАНА""",130940008826,970541000638
1916,68,11.03.2016 13:59,189375,"Техническое обслуживание и текущий ремонт служебного автотранспорта (включая стоимости запчастей), Шевроле Круз, мем.№Е746АК06
","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР"" УПРАВЛЕНИЯ ПО ДЕЛАМ РЕЛИГИЙ АТЫРАУСКОЙ ОБЛАСТИ","АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИПЭК АВТО КАЗАХСТАН""",130940008826,091240008010
1917,2,29.01.2016 18:21,620536,Услуги телефонной связи,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ВНУТРЕННЕЙ ПОЛИТИКИ АТЫРАУСКОЙ ОБЛАСТИ""","АТЫРАУСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ - ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХТЕЛЕКОМ""",010940001636,970941000612
1918,2,22.01.2016 10:01,54000,"Услуга по обновлению платформы и конфигурации ""1С: Предприятие 8"" ","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКИМА СЕЛЬСКОГО ОКРУГА ЖУЗИМДИК КЕЛЕССКОГО РАЙОНА""",ИП Валиев П.М.,000440003979,780802300163
1919,10,21.01.2016 18:56,23540,Услуги по техническому обслуживанию системы учета тепла.,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ШКОЛА № 1"" ОТДЕЛА ОБРАЗОВАНИЯ АКИМАТА ГОРОДА ЛИСАКОВСКА",ИП ШЕРЕПИТКО ВЛАДИМИР ЕВГЕНЬЕВИЧ,990640003288,730926301222
1920,1,29.01.2016 11:05,492857,Услуги по обслуживанию программного продукта «Парус-КАЗ. Бюджет» ,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКТЮБИНСКОГО ОБЛАСТНОГО МАСЛИХАТА""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРУС-КАЗ""",020340002981,071140021605
1921,01-6-054,26.01.2016 16:24,555352,за   электроэнергию,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКИМА СЕЛА ХАНТАГИ"" АКИМАТА ГОРОДА КЕНТАУ","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОҢТҮСТІК ЖАРЫҚ""",000440002208,030640003148
1922,20,21.01.2016 17:46,100000,"работа по ремонту радиостанции Kenwood, Alinco, блока питания и гарнитуры","ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""КОСТАНАЙ-СУ"" АКИМАТА ГОРОДА КОСТАНАЯ ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""ОТДЕЛ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ АКИМАТА ГОРОДА КОСТАНАЯ""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХМОТИВ""",991240001001,060740005650
1924,21,23.01.2016 12:51,139600,Услуги по испытаниям ,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""КОСТАНАЙ-СУ"" АКИМАТА ГОРОДА КОСТАНАЯ ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""ОТДЕЛ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ АКИМАТА ГОРОДА КОСТАНАЯ""","ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""№40""",991240001001,970540004116
1925,3,19.01.2016 16:25,91680,Апельсин рубчатый,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""КЫЗЫЛОРДИНСКИЙ ОБЛАСТНОЙ ЦЕНТР ПСИХИЧЕСКОГО ЗДОРОВЬЯ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ""",ИП МАТКАРИМОВА,950340000502,570902401283
1927,38,20.01.2016 17:18,10920,Техническое  обслуживание на электрическую мясоробку,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОКАЗАНИЯ СПЕЦИАЛЬНЫХ СОЦИАЛЬНЫХ УСЛУГ №1"" УПРАВЛЕНИЯ КООРДИНАЦИИ ЗАНЯТОСТИ И СОЦИАЛЬНЫХ ПРОГРАММ АКИМАТА ЖАМБЫЛСКОЙ ОБЛАСТИ""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДРЕМПЛЮС""",960240000401,060140014925
1928,40,20.01.2016 17:17,10920,Техническое  обслуживание картофелечистка  ,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОКАЗАНИЯ СПЕЦИАЛЬНЫХ СОЦИАЛЬНЫХ УСЛУГ №1"" УПРАВЛЕНИЯ КООРДИНАЦИИ ЗАНЯТОСТИ И СОЦИАЛЬНЫХ ПРОГРАММ АКИМАТА ЖАМБЫЛСКОЙ ОБЛАСТИ""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДРЕМПЛЮС""",960240000401,060140014925
1929,48,20.01.2016 17:10,21840,Техническое  обслуживание напольный кандиционера  ,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОКАЗАНИЯ СПЕЦИАЛЬНЫХ СОЦИАЛЬНЫХ УСЛУГ №1"" УПРАВЛЕНИЯ КООРДИНАЦИИ ЗАНЯТОСТИ И СОЦИАЛЬНЫХ ПРОГРАММ АКИМАТА ЖАМБЫЛСКОЙ ОБЛАСТИ""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДРЕМПЛЮС""",960240000401,060140014925
1930,3,20.01.2016 10:23,22800,шарт,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОСНОВНАЯ ШКОЛА №20"" АКИМАТА ГОРОДА РУДНОГО",ИП ПЛЮЩЕНКО Г. С.,070140005501,841121450078
1932,1,04.04.2016 18:45,45000,Участие в семинаре по теме «Организация и проведения государственных закупок». Количество участников – 1. ,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ЭКОНОМИКИ И ФИНАНСОВ"" АКИМАТА ГОРОДА ТУРКЕСТАН","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""POSITIVE PARTNERS""",100240000750,130440019020
1933,4,25.01.2016 15:21,190000,"Изготовление паспортов для выбросов опасных отходов, здание","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТА АКИМА КЕМЕРБАСТАУСКОГО СЕЛЬСКОГО ОКРУГА АКИМАТА ТЮЛЬКУБАССКОГО РАЙОНА""","И/П ""ТОЛТАЕВА Н.О.""",990440005603,841015402100
1934,3,21.01.2016 16:21,1392500,Услуги по сопровождению 1С,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКИМА ГОРОДА АЛМАТЫ""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИАЛОГ-СОФТ""",960140000448,010840005165
1935,1,26.01.2016 09:11,275143,"Обслуживание программного продукта ""Парус-КАЗ Бюджет.(Бухгалтерский учет МСФО.Расчет заработной платы)","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ТУРКСИБСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""ОТДЕЛ ОБРАЗОВАНИЯ ГОРОДА СЕМЕЙ ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРУС-КАЗ""",991240001200,071140021605
1936,012,22.02.2016 16:29,250925,транспортировка природного газа,КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ «АЛТЫНСАРИНСКАЯ РАЙОННАЯ БОЛЬНИЦА» УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗТРАНСГАЗ АЙМАК""",961240001105,020440001144
1937,34/16,20.01.2016 17:10,211680,Пакет упаковочный,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЦЕНТР СТЕРИЛИЗАЦИИ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""STERIMED"" (СТЕРИМЕД)",091240000471,110240011202
1938,2,20.01.2016 09:14,10920,Размещение объявления в газете ,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""КАЧАРСКАЯ СРЕДНЯЯ ШКОЛА № 1""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕДАКЦИЯ ГОРОДСКОЙ ГАЗЕТЫ ""РУДНЕНСКИЙ РАБОЧИЙ""",990240003967,010940001834
1939,1,28.01.2016 11:20,72000,поддержка программы,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ЯСЛИ-САД ""ГҮЛДЕР"" АКИМАТА ГОРОДА КАРАГАНДЫ ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""ОТДЕЛ ОБРАЗОВАНИЯ ГОРОДА КАРАГАНДЫ""","ИП ""WebStyle""",990140003864,870827350459
1940,1,21.01.2016 16:59,529000,келісім шарт,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""КОЛЛЕДЖ №18"" УПРАВЛЕНИЯ РАЗВИТИЯ ЧЕЛОВЕЧЕСКОГО ПОТЕНЦИАЛА ТУРКЕСТАНСКОЙ ОБЛАСТИ""","ГКП ""ТАЗА СУ"" РАЙОННОГО ОТДЕЛА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ АКИМАТА ОРДАБАСИНСКОГО РАЙОНА",080340014689,050540004237
1942,14,,200000,Электроэнергия уличного освещения,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКИМА ПОСЕЛКА ТОБОЛ""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛАТАУ ЭНЕРГОТРЕЙД ЛИМИТЕД""",970240002033,110640010467
